idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
51,opportunity,0.4844,0.5678,0.5315,3,1,1,1,,,,positive,0.9966,0.5697808861732483,에너지 관리,E,신재생에너지 전환,이 회사는국내 발전사업자 GS EPS와 협업해 경남 창원 LG스마트파크 통합생산동 옥상에 축구장 3개 크기로 직접 PPA 방식 태양광 발전소를 구축하고 있다. 2025년 최종 완공 목표다. 이 중 일부는 지난해 12월 준공해 운영에 들어갔다.,TRUE,재무영향낮음(잠재규모1·가능성1)
52,context,0.2366,0.4314,0.1474,2,1,1,1,,,,neutral,0.8502,0.5073676109313965,에너지 관리,E,신재생에너지 전환,"1 5월 중 풍력과 태양광 발전량은 2019년 대비 1억200만MWh(68%) 증가했으나, 석탄 발전량은 1억3200만MWh(35%) 감소했다. 올해 1 5월 중 석탄 발전량 2억4940만MWh는 수십 년 래 최저 수준이다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
53,context,0.2512,0.4702,0.1333,1,1,1,1,,,,neutral,0.9997,0.470320463180542,에너지 관리,E,신재생에너지 전환,한국ESG연구소(대표 조윤남)은 최근 RE100과 24 7CFE에 대한 기업의 관심이 증가하는 부응하여 쉽게 활용하는 RE100 핸드북을 발간해 PDF 파일로 무료 배포하기로 했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
54,context,0.3021,0.4456,0.1539,1,1,2,1,,,,neutral,0.8876,0.5020100474357605,에너지 관리,E,신재생에너지 전환,"특히 태양광 발전 예상 투자 규모는 3,800억 달러(503조원)로, 사상 처음으로 석유 생산 투자비 3,700억 달러(490조원)를 추월할 것으로 전망됐다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1)
55,context,0.3409,0.6731,0.1866,1,3,1,1,,,,neutral,0.9999,0.6731370091438293,에너지 관리,E,신재생에너지 전환,"한국ESG연구소는 산업별로 글로벌 대표 기업과 국내기업의 RE100 이행현황과 에너지소비구조와 매출당 전력사용량 등을 비교해 알기쉽게 설명했다. 아울러, RE100 기업이 이행 보고를 위한 가이드도 담았다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
56,context,0.2088,0.2861,0.1615,1,1,2,1,,,,neutral,0.9316,0.3071036636829376,에너지 관리,E,신재생에너지 전환,이런 가운데 EIA는 올 여름 미국의 태양광 발전량이 지난해 같은 기간에 비해 24% 증가하고 풍력과 원자력 발전량도 늘어날 것으로 전망했다. 반면에 석탄 발전은 지난 여름보다 15% 감소할 것으로 예상됐다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
57,context,0.3297,0.6945,0.1333,1,1,1,1,,,,neutral,0.9999,0.6945335865020752,이사회 구조,G,이사회 구성 및 독립성,"7인 후보 중 주주추천 후보는 3인에 그쳤다. 더구나 3인이 주요주주인 국민연금, 현대차그룹, 신한은행 추천 후보인지 여부도 확인되지 않았다. 회사 경영에 대한 책임과 이해를 함께 하는 주요주주의 의견이 이사회 구성에서 좀 더 많이 반영되어야 한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
58,context,0.3268,0.6062,0.2133,1,1,3,1,,,,neutral,0.9998,0.6062769293785095,윤리경영·준법,G,반부패 및 컴플라이언스,중소벤처기업진흥공단(이하 중진공)은 12일 오후 경남 진주 본사에서 제1차 윤리 인권경영위원회를 열어 올해 윤리 인권경영 계획을 확정하고 반부패 청렴정책 계획에 대한 자문을 진행한다고 20일 밝혔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
59,context,0.2662,0.5131,0.1333,1,1,1,1,,,,neutral,0.9997,0.5132136344909668,에너지 관리,E,에너지 소비 및 효율화,1997년 교토의정서 가입국들은 2012년까지 이산화탄소 배출량을 1990년 대비 평균 5% 정도 감축하기로 했다. 이를 이행하지 못하는 국가나 기업은 탄소배출권을 외부에서 구입하게 했다. 따라서 이산화탄소 배출량이 많은 기업은 에너지 절감 등 기술개발로 배출량 자체를 줄이거나 배출량이 적어 여유분의 배출권을 소유하고 있는 기업으로부터 그 권리를 사서 해결해야 한다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
60,context,0.2328,0.4176,0.1333,1,1,1,1,,,,neutral,0.9999,0.4176628887653351,기후변화·온실가스,E,Scope 1·2 배출량,신선도 확인이나 고객 편의를 이유로 개방형 냉장고를 쓰면 에너지 낭비를 초래하고 냉장식품 보관 적정 온도(섭씨 10도 이하)보다 높아지는 경우가 있어서다. 서울시에 따르면 롯데마트와 한국전력공사가 냉장고 문을 만드는 시범사업을 벌인 결과 1대당 전력 사용량이 평균 50 이상 절감됐다. 문을 달고 나니 온도도 안정적으로 10도 이하를 유지해 신선상품 폐기율이 종전보다 3 넘게 줄었다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
61,context,0.2933,0.5903,0.1333,1,1,1,1,,,,neutral,0.9998,0.5904428362846375,에너지 관리,E,신재생에너지 전환,"CF100에 대한 정부의 지원방안에 대해서는 세제 혜택 등 재정적 인센티브 제공(38.2%) , 실시간 모니터링을 위한 계측설비 등 관련 인프라 구축(26.5%) , 무탄소에너지 전용 전력구매계약(PPA) 등 제도 마련(20.6%) 에 높은 응답률을 보였다. 이 밖에도 무탄소에너지 관련 혁신기업 육성(8.8%), 전략판매시장 규제 완화(5.9%) 등을 제시했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
62,context,0.302,0.6174,0.1322,1,1,1,1,,,,neutral,0.9918,0.6224867105484009,에너지 관리,E,신재생에너지 전환,한화솔루션은 보고서를 통해 공장 내 유휴 부지를 활용한 태양광 자가발전 추진 재생에너지 기반 전력 확보 회사 차량의 친환경 차량 전환 캠페인 등 다양한 재생에너지 전환에 대한 자사의 노력을 소개했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
63,risk,0.4272,0.5405,0.4098,1,1,2,1,,,,negative,0.9457,0.5715613961219788,인적자원 관리,S,다양성 및 형평성 (DEI),"상황이 이렇다 보니 민감한 이슈가 많은 사회 관련 기업들의 활동이 논란에 휩싸이곤 한다. 특히 이 중 최근 줄여서 DEI라고 부르는 다양성(diversity), 형평성(equity), 포용성(inclusion) 문제를 해결하려고 애쓰는 기업이 늘면서 논란이 더욱 가열되고 있다. 기득권 층에서는 DEI 제고 활동에 반발하려는 움직임이 강한 반면, DEI가 부족하다고 판단하는 쪽에서는 DEI를 높여 달라는 요구를 강하게 하기 때문이다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
64,context,0.2269,0.4008,0.1332,1,1,1,1,,,,neutral,0.999,0.4012112617492676,에너지 관리,E,에너지 소비 및 효율화,"블룸버그 통신이 프랑스 정부로부터 얻은 회의 요약본에 따르면 프랑스, 스페인, 노르웨이, 포르투갈 등이 이처럼 온실가스를 배출하는 화석연료 사용량에 따라 일정 금액을 부과하는 탄소 부담금 제도 도입을 지지했다. 구체적으로 어떤 나라들이 탄소세 부과를 지지하는지 모두 확인되지는 않았다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
65,opportunity,0.3008,0.3485,0.2751,1,1,1,1,,,,positive,0.8253,0.42224839329719543,에너지 관리,E,신재생에너지 전환,"태양광 발전이 전년 대비 25%, 풍력 발전이 전년 대비 13.5% 증가해 두 자릿수대 증가율을 나타냈으나 화석연료를 대체하기에는 턱없이 부족했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
66,context,0.3142,0.513,0.2256,1,3,2,1,,,,neutral,0.9955,0.5152708292007446,에너지 관리,E,신재생에너지 전환,"또한 2050 탄소중립과 RE100 등에 세계 각국과 글로벌 기업들도 적극 참여하면서 탈탄소를 위한 생산 및 유통구조 개선 등에 적잖은 비용을 투입하고 있는데, 이는 결국 최종 소비재 가격의 상승 요인으로 작용할 전망이다. 아울러 글로벌 공급망의 노동인권 및 산업 안전 개선 등의 조치도 비용 상승 요인이 되고 있다.",TRUE,감정불명확
67,context,0.2829,0.4906,0.2068,1,1,3,1,,,,neutral,0.9694,0.5060864686965942,에너지 관리,E,에너지 소비 및 효율화,화석연료가 계속 핵심 에너지원으로 사용되면서 에너지 부문에서 발생한 온실가스 배출량은 전년 대비 0.8% 늘며 증가세를 지속했다. 풍력과 태양광 등 신재생에너지(수력 제외) 사용 비중은 세계 에너지 소비량의 7.5%를 차지하는 데 그쳤다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
68,context,0.2858,0.4403,0.2634,3,3,1,1,,,,neutral,0.9878,0.445752888917923,에너지 관리,E,에너지 소비 및 효율화,"석유, 석탄, 가스 등 화석연료 소비량이 전체 에너지 소비량의 82%를 차지하며 에너지 사용 증가를 견인했다. 특히 이산화탄소와 미세먼지 등 오염물질을 가장 많이 배출하는 석탄은 중국과 인도의 수요 지속 탓에 지난해에도 소비량이 전년 대비 0.6% 늘었다. 석탄 소비와 맞물려 글로벌 석탄 생산량도 전년 대비 7%나 증가했다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
69,context,0.2829,0.4906,0.2068,1,1,3,1,,,,neutral,0.9694,0.5060864686965942,에너지 관리,E,신재생에너지 전환,화석연료가 계속 핵심 에너지원으로 사용되면서 에너지 부문에서 발생한 온실가스 배출량은 전년 대비 0.8% 늘며 증가세를 지속했다. 풍력과 태양광 등 신재생에너지(수력 제외) 사용 비중은 세계 에너지 소비량의 7.5%를 차지하는 데 그쳤다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
70,context,0.2672,0.4629,0.1865,1,3,1,1,,,,neutral,0.9993,0.46325409412384033,에너지 관리,E,신재생에너지 전환,"유럽은 대체원료 연구 활발...시멘트업계, ESG와 RE100 흐름 동참해야",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
71,context,0.2824,0.5593,0.1333,1,1,1,1,,,,neutral,0.9997,0.559512734413147,에너지 관리,E,신재생에너지 전환,"이와 관련 규제샌드박스 실증사업에 나선 SK에너지는 주유소에 태양광 발전설비와 연료전지를 설치해 전기를 생산하고, 이를 전기차 충전 등에 공급하는 미래형 융복합 충전소(에너지슈퍼스테이션)를 구축했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
72,context,0.2742,0.5361,0.1331,1,1,1,1,,,,neutral,0.9986,0.5368524193763733,인적자원 관리,S,다양성 및 형평성 (DEI),"아스트라제네카의 파스칼 소리오 최고경영자는 기후 변화와 생물 다양성 상실이라는 두 가지 위기는 지구를 손상시키고 인간의 건강을 해치고 있다며 AZ 포레스트를 통해 재조림을 제공하고 생물 다양성을 지원해 향후 약 30년에 걸쳐 대기 중에서 약 3,000만 톤의 이산화탄소를 제거할 것 이라고 설명했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
73,context,0.2686,0.48,0.1732,1,1,2,1,,,,neutral,0.9992,0.4804112911224365,에너지 관리,E,신재생에너지 전환,"기존 위험물안전관리 세부기준에서는 태양광 발전설비, 전기차 충전기와는 달리 연료전지의 주유소 내 설치를 허용하지 않았는데, 정부가 SK에너지 측에 사업 기회를 부여하고 법령 정비를 검토하게 된 것이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
74,context,0.2989,0.5665,0.1733,1,1,2,1,,,,neutral,0.9996,0.5667065382003784,에너지 관리,E,신재생에너지 전환,"전략원자재란 신재생에너지, 디지털, 항공우주, 방위 기술 등 핵심 산업분야에 사용되는 원자재 중 수요와 공급망 차질 위험 등을 고려해 정한 일종의 특별 관리대상 원자재다. 전략원자재로 분류되면 역내 생산역량 확대, 공급망 다변화를 위한 대책을 비롯해 회원국 간 전략적 비축 및 공동구매와 관련한 규정을 적용받는다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
75,context,0.2539,0.4952,0.1427,1,3,1,1,,,,neutral,0.7647,0.6475269794464111,에너지 관리,E,신재생에너지 전환,"미래에셋증권은 PCAF(탄소금융회계)를 준용한 금융배출량 집계와 함께 2040 과학기반 탄소중립 목표를 수립했으며, 2025 RE100(재생에너지 100%) 달성을 위해 지난 2월 업계 최초로 REC 장기구매계약을 체결하기도 했다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
76,context,0.2518,0.4323,0.173,1,1,2,1,,,,neutral,0.998,0.4331473112106323,인적자원 관리,S,다양성 및 형평성 (DEI),공화당 의원들은 기후 위험이나 이사회의 다양성 같은 ESG 기준이 투자자에게 피해를 주고 있다고 비판해왔다. 이런 기준을 중시하는 건 고객에게 최고의 금융 수익을 제공해야 하는 투자 관리자의 의무를 저버린 행동이라는 것이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
77,context,0.2831,0.5629,0.1325,1,1,1,1,,,,neutral,0.9936,0.566560685634613,에너지 관리,E,에너지 소비 및 효율화,미국 CNN 방송에 따르면 에너지연구소(the Energy Institute)는 컨설팅업체 KPMG 및 커니와 함께 발간한 세계 에너지 통계 리뷰 보고서에서 지난해 세계 에너지 소비량이 전년 대비 1% 증가했다고 26일(현지시간) 밝혔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
78,context,0.3274,0.6347,0.1865,1,3,1,1,,,,neutral,0.999,0.6353583335876465,에너지 관리,E,신재생에너지 전환,현재 ESG(환경 사회적 책임 거버넌스)와 RE100(재생에너지 100% 사용)은 글로벌 차원의 흐름이라 시멘트업계도 따라가지 않을 수 없는 상황이다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
79,context,0.2546,0.475,0.1521,1,1,2,1,,,,neutral,0.8774,0.5413421392440796,인적자원 관리,S,다양성 및 형평성 (DEI),"LGBTQ 역시 DEI 관련 핵심 이슈의 하나라 이를 둘러싼 논란이 커지고 있다. LGBTQ는 lesbian(여성 동성애자), gay(남성 동성애자), bisexual(양성애자), transgender(성전환자), queer(성 소수자 전반) 혹은 questioning(성 정체성에 관해 갈등하는 사람)의 첫 글자를 따서 만든 약어다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
80,context,0.2651,0.3768,0.2665,3,3,1,1,,,,neutral,0.9995,0.37697187066078186,에너지 관리,E,신재생에너지 전환,"신흥국과 개도국의 청정에너지 투자가 현재 중국과 인도, 브라질 3국에서만 집중적으로 이루어지는 것도 문제점으로 지적됐다. 이들 3국의 청정에너지 투자는 전체 신흥국의 투자액에서 4분의 3 이상을 차지하는 것으로 나타났다. 지난해 중국은 100GW 규모의 태양광 발전설비를 구축했다. 이는 아프리카 대륙 전체의 11GW를 압도하는 규모다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
81,context,0.2809,0.5554,0.1331,1,1,1,1,,,,neutral,0.9979,0.5565799474716187,에너지 관리,E,에너지 소비 및 효율화,이번에 저탄소 축산물 인증을 받은 농가는 조기출하 탄소저감 분뇨처리 에너지 절감 시설 등의 기술을 적용해 탄소 배출을 저감했다. 인증받은 농가 가운데 상위 5개 농가는 조기출하와 가축분뇨 처리기술 등을 적용해 일반농가 대비 평균 17.2%의 온실가스 감축률을 보였다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
82,context,0.3371,0.5842,0.2652,3,3,1,1,,,,neutral,0.9944,0.5874465703964233,에너지 관리,E,에너지 소비 및 효율화,"보고서는 전체 투자액의 3분의 1 이상은 재생에너지 위주의 청정 전력 생산에 투자해야 하고 다른 3분의 1은 에너지 효율 개선과 전기를 이용한 이동수단 보급 확대 등에 투자해야 한다고 밝혔다. 나머지는 전력망과 에너지 저장장치, 바이오연료, 그린수소, 탄소포집저장활용 설비 등에 투자해야 하고 청정 조리기구 등에 대한 투자는 전체 투자액의 2% 미만이라고 보고서는 밝혔다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
83,context,0.305,0.6238,0.1333,1,1,1,1,,,,neutral,0.9999,0.6238349080085754,윤리경영·준법,G,반부패 및 컴플라이언스,그는 또한 중요한 ESG 사안에 대해 이사회와 ESG위원회의 검토를 공식화하고 법무팀과 컴플라이언스 부서를 대상으로 ESG 교육을 실시하AU 고객이나 대중과 같은 제3자와의 ESG 약속을 성실하게 이행해야 한다고 강조했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
84,risk,0.3166,0.3917,0.2761,1,1,1,1,,,,negative,0.8284,0.47278085350990295,에너지 관리,E,신재생에너지 전환,"특히 한전이 1월 도입을 3월로, 다시 7월로 연기하며 불확실성을 남겼으나, 최근 무기한 연기를 발표하면서 불확실성이 해소돼 앞으로 다시 직접 PPA 계약을 추진하는 기업들이 늘어날 것으로 거래소는 보고 있다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
85,risk,0.4094,0.4785,0.4165,1,1,2,1,,,,negative,0.9611,0.4979100525379181,에너지 관리,E,신재생에너지 전환,전력거래소는 제도가 도입된 지 1년이 채 안 돼 기업들의 경험치도 부족한데 한전의 PPA 요금제 신설 문제가 크게 작용했다고 설명했다. 직접 PPA 계약을 검토하는 기업들이 늘어나는 와중에 PPA 요금제 도입으로 가격 상승이 예상되자 많은 RE100 기업들이 직접 PPA 계약 검토를 중단했다는 설명이다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
86,context,0.2419,0.4172,0.1598,1,2,1,1,,,,neutral,0.9989,0.4176486134529114,에너지 관리,E,신재생에너지 전환,그는 또 RE100 기업들은 대량 구매를 원하는데 국내에서 새만금 정도를 제외하면 대형 재생에너지 사업자가 적은 것도 문제 라며 다수의 소규모 사업자를 일일이 찾아서 계약해야 하고 검토할 게 많아 한 건 계약하기도 어려운데 여러 건 계약하려니 더 어려워진다 고 말했다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
87,opportunity,0.276,0.386,0.2168,1,1,1,1,,,,positive,0.6503,0.5936278104782104,윤리경영·준법,G,반부패 및 컴플라이언스,법무법인 대륙아주의 이상봉 변호사는 유럽연합(EU)의 공급망실사법 도입 등으로 해외 공급망에 대한 ESG 리스크 관리가 중요해졌다며 이를 위해서도 기업의 컴플라이언스 시스템 구축이 필요하다고 말했다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
88,context,0.2698,0.4839,0.173,1,1,2,1,,,,neutral,0.9982,0.48474764823913574,에너지 관리,E,신재생에너지 전환,정부는 태양광 사업과 관련된 비리를 척결하되 태양광 발전 확대 정책은 지속적으로 추진한다는 입장이다. 하지만 정부의 의도와 달리 소형 태양광 사업자 우대 제도가 폐지되면 가뜩이나 충분치 않은 재생에너지 전력 공급에 차질이 빚어지지 않을까 하는 우려도 나온다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
89,context,0.2949,0.5107,0.1726,1,1,2,1,,,,neutral,0.996,0.5127066969871521,에너지 관리,E,신재생에너지 전환,근본적으로 재생에너지 공급을 늘려야 한다는 의견도 많다. 남 센터장은 수요와 공급을 예측해 보면 앞으로 RE100 기업의 재생에너지 전력 수요가 빠르게 늘어날 전망 이라며 앞으로 공급 부족이 예상된다 고 말했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
90,context,0.3245,0.5741,0.2391,1,1,3,2,,,,neutral,0.9961,0.5763329863548279,윤리경영·준법,G,반부패 및 컴플라이언스,국제 법무법인 사이들리 오스틴(Sidley Austin)의 인혜연 변호사는 13일 법무법인 대륙아주와 한국생산성본부가 공동 주최한 ESG 세미나에서 컴플라이언스 시스템이 구축되지 않으면 ESG는 심각한 소송 리스크가 될 수 있다 고 말했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
91,risk,0.279,0.3097,0.2938,2,1,1,1,,,,negative,0.6779,0.4567953050136566,인적자원 관리,S,다양성 및 형평성 (DEI),보고서는 기상이변이 이미 유럽에 상당한 경제적 손실을 초래하고 있는 가운데 기후 및 생물 다양성 위기로 인한 미지의 비용과 결과까지 고려해서 투자금을 추산했다 고 설명했다.,TRUE,재무영향낮음(잠재규모1·가능성1)
92,context,0.297,0.6046,0.1314,1,1,1,1,,,,neutral,0.9853,0.6136466860771179,에너지 관리,E,신재생에너지 전환,협력사가 펀드 자금을 활용할 수 있는 분야는 탄소감축 및 저탄소 관련 신기술 재생에너지 전환 에너지 저감에 필요한 설비 투자 등이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
93,opportunity,0.354,0.4813,0.2855,1,1,1,1,,,,positive,0.8564,0.5619668364524841,기후변화·온실가스,E,Scope 1·2 배출량,반도체 제조업은 기술 분야 가운데에서도 가장 많은 전력을 소비하는 업종이다. 반도체 제조업은 지난 2021년 기준 국내 산업용 전력 사용량의 14%인 41TWh(테라와트시)를 사용했다. 화석연료 의존도가 높은 국내 전력 생산 구조상 반도체 제조업은 철강산업과 함께 온실가스 배출의 주요 원인제공자로 지적돼 왔다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
94,opportunity,0.4135,0.5659,0.3314,1,1,1,1,,,,positive,0.9941,0.5692504048347473,에너지 관리,E,에너지 소비 및 효율화,실제 삼성전자의 지난해 사업장 에너지 사용량은 3만5177GWh로 전년 대비 8.8% 증가했다. 하지만 재생에너지 사용량 확대와 공정가스 처리 효율 개선 등을 통해 온실가스를 줄인 것으로 보인다. 이는 그린피스 등 국제환경단체 등이 삼성전자를 비롯한 반도체 업체의 온실가스 감축 방안으로 제시한 것과 대체적으로 일치한다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
95,context,0.1861,0.3422,0.1234,1,1,3,1,,,,neutral,0.5784,0.5915587544441223,에너지 관리,E,신재생에너지 전환,신재생에너지 정책혁신 TF 는 최근 감사원의 신재생에너지 사업 추진실태 감사와 국무조정실의 전력산업기반기금 사업 점검 결과 재생에너지 사업 관련 비리 혐의가 적발되고 전반적인 사업 관리 부실 문제가 지적됨에 따라 이를 해결하기 위해 설립됐다.,TRUE,낮은신뢰도(0.578) | 감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
96,context,0.3751,0.6469,0.1733,2,1,1,1,,,,neutral,0.9999,0.6469507217407227,에너지 관리,E,신재생에너지 전환,"TF는 앞으로 에너지 유관기관 종사자의 태양광 사업 금지 방안 등 공직윤리 제고와 투명한 행정처리 방안 수천억 규모의 신재생에너지 금융지원, 보조사업 등 예산지원사업을 재검토해 적정 사업규모와 사업 방식 강구 및 사업 관리 방안 마련 RPS제도 개편과 소형 태양광 우대 일몰, 인허가 제도, REC 거래와 정산 제도 등 신재생에너지 정책 전반에 대한 개선 방안 등을 논의한다.",TRUE,감정불명확
97,context,0.2705,0.5632,0.13,1,3,1,1,,,,neutral,0.6962,0.8090326189994812,에너지 관리,E,신재생에너지 전환,"REC란 한국에너지공단이 발급하는 신재생에너지 공급인증서(Renewable Energy Certificate) 로 신재생에너지 설비를 통해 에너지를 공급했음을 증명하는 인증서다. 신재생에너지 공급의무화제도(RPS) 혹은 RE100을 충족시키기 위해 신재생에너지 공급이 필요한 많은 기업들이 REC를 구입하고 있으며, 글로벌 RE100 참여기업들이 가장 많이 활용하는 이행수단이다",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
98,risk,0.4643,0.4154,0.6557,3,1,3,1,,,,negative,0.8941,0.4645634591579437,에너지 관리,E,신재생에너지 전환,"분야별로는 태양광 등 신재생에너지 금융지원사업 부분에서 2019년 2021년까지 3년간 총 3,010건에 4,898억원의 부당 행위가 적발돼 가장 큰 규모를 차지했다. 이 부문에서는 가짜 세금계산서를 통해 태양광 발전시설 설치 사업비를 부풀려 과다 대출하거나, 실경작을 하지 않고 버섯재배사 곤충사육사 등 농축산물 생산 시설로 위장해 허위 대출을 하는 방식이 확인됐다. 박 차장은 대출을 받을 때 부풀린 세금계산서를, 세금을 납부할 때 정상적인 세금계산서를 각각 활용한 경우를 가리켜 굉장히 악질적인 사례라고 지적했다.",TRUE,재무영향낮음(잠재규모1·가능성1)
99,context,0.2794,0.5506,0.1333,1,1,1,1,,,,neutral,0.9997,0.5507634878158569,인적자원 관리,S,다양성 및 형평성 (DEI),"아스트라제네카는 2020년에 AZ 포레스트를 시작했으며, 기후변화 방지와 자연 복원 및 생물 다양성 증진에 기여하는 차원에서 2025년 말까지 5,000만 그루 이상의 나무를 심고 유지하겠다는 초기 공약을 내걸었는데 이번에 기존 계획을 확대한 것이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
100,opportunity,0.4171,0.4405,0.4659,1,3,1,1,,,,positive,0.9983,0.4412771463394165,에너지 관리,E,신재생에너지 전환,김 연구원도 애플이 공급망을 포함해 2030년 RE100 달성을 목표로 하는 등 글로벌 ICT 기업들이 대체로 2030년이나 2040년까지 공급망을 포함한 RE100 달성을 목표로 삼고 있다 며 따라서 국내기업들이 느끼는 재생에너지 사용 압력은 밖에서 알고 있는 것보다 훨씬 더 크다 고 전했다.,TRUE,재무영향낮음(잠재규모1·가능성1)
