idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
51,risk,0.4232,0.4251,0.4077,1,1,2,1,,,,negative,0.9409,0.45178115367889404,에너지 관리,E,신재생에너지 전환,인도산 모듈 공급은 부족한데 수입산 모듈에 고율의 관세가 부과됨에 따라 태양광 발전 사업을 속도감 있게 추진하기 어렵다는 지적이 나온다. 인도 정부 관계자는 관세 인하 필요성을 강조하면서 앞으로 2년간 인도는 연간 8 10기가와트 규모의 태양광 모듈을 수입할 전망 이라고 말했다.,TRUE,영향도낮음(규모1·범위1)
52,context,0.2715,0.5318,0.1314,1,1,1,1,,,,neutral,0.9856,0.5395234823226929,에너지 관리,E,신재생에너지 전환,"G7은 화석연료 산업에 대한 보조금 지급을 2025년까지 중단한다는 약속을 재확인하는 한편, 2030년까지 태양광 발전 능력을 1테라와트로, 해상풍력 발전 능력은 150기가와트로 확대하기로 했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
53,opportunity,0.3346,0.4647,0.2646,1,1,1,1,,,,positive,0.7938,0.5854443311691284,에너지 관리,E,신재생에너지 전환,Scope 2는 전기나 난방 등의 사용에 따른 간접배출로 에너지 절약이나 친환경 에너지 사용으로 대응할 수 있다. 문제는 국내 기업이 여기에 대비하는 데는 시간이 걸린다는 것. 예컨대 볼보나 BMW 등 유럽 기업은 벌써 부품업체에 RE100(재생에너지 100% 사용)을 요구하고 있다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
54,context,0.278,0.5069,0.1732,1,1,2,1,,,,neutral,0.9995,0.507107675075531,인적자원 관리,S,다양성 및 형평성 (DEI),"예를 들어, 유럽 금융사들은 기후 위험과 친환경 경제로의 전환 등 광범위한 환경 이슈를 부가가치 창출 기회로 간주하는 경향이 강했다. 반면에 미국 금융사들은 다양성 형평성 포용성(DE I) 같은 사회적 이슈들뿐만 아니라 기후 이슈를 통제 완화하는 데 따른 사회경제적 영향을 그런 기회로 여기는 경향이 컸다. 한편 아시아 태평양 금융사들은 다양한 ESG 활동과 기회 및 위험 사이에서 상대적으로 더 균형 잡힌 시각을 유지했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
55,opportunity,0.3346,0.4647,0.2646,1,1,1,1,,,,positive,0.7938,0.5854443311691284,기후변화·온실가스,E,Scope 1·2 배출량,Scope 2는 전기나 난방 등의 사용에 따른 간접배출로 에너지 절약이나 친환경 에너지 사용으로 대응할 수 있다. 문제는 국내 기업이 여기에 대비하는 데는 시간이 걸린다는 것. 예컨대 볼보나 BMW 등 유럽 기업은 벌써 부품업체에 RE100(재생에너지 100% 사용)을 요구하고 있다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
56,context,0.3142,0.6235,0.16,1,2,1,1,,,,neutral,0.9999,0.6235657334327698,에너지 관리,E,신재생에너지 전환,"부산시, 부산지방기상청, 부산연구원, APEC기후센터 등이 참여하는 부산기후변화협의체는 기후위기 시대, 기후산업의 대응을 주제로 세마나를 열었다. 부산지역 RE100(재생에너지 100%) 협의체 발대식과 기업 간담회도 마련됐다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
57,context,0.2737,0.5344,0.1333,1,1,1,1,,,,neutral,0.9995,0.5346671938896179,인적자원 관리,S,다양성 및 형평성 (DEI),"그는 이날 회의에서 국제사회가 기후변화, 생물 다양성 손실, 환경오염이라는 3중의 위기에 맞서야 할 공동 책임이 있다며 이같이 말했다고 김태효 국가안보실 1차장이 브리핑했다. 기후클럽은 2050년 기후중립 달성을 목표로 G7이 결성해, 올라프 숄츠 독일 총리가 주도하고 있다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
58,context,0.2904,0.5823,0.1333,1,1,1,1,,,,neutral,0.9999,0.5823556780815125,기후변화·온실가스,E,Scope 1·2 배출량,에너지 다이어트 는 ESG(환경 사회 지배구조) 경영의 실천이면서 동시에 여름철 전력 사용량 폭증에 대비한 비용절감 효과가 있다는 계산이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
59,opportunity,0.4844,0.5678,0.5315,3,1,1,1,,,,positive,0.9966,0.5697808861732483,에너지 관리,E,신재생에너지 전환,이 회사는국내 발전사업자 GS EPS와 협업해 경남 창원 LG스마트파크 통합생산동 옥상에 축구장 3개 크기로 직접 PPA 방식 태양광 발전소를 구축하고 있다. 2025년 최종 완공 목표다. 이 중 일부는 지난해 12월 준공해 운영에 들어갔다.,TRUE,재무영향낮음(잠재규모1·가능성1)
60,context,0.261,0.5047,0.1297,1,1,1,1,,,,neutral,0.9731,0.5186254978179932,에너지 관리,E,신재생에너지 전환,"카카오, RE100 가입 2040년까지 재생에너지 100% 전환",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
61,context,0.2714,0.541,0.1263,1,1,1,1,,,,neutral,0.9469,0.5713668465614319,에너지 관리,E,신재생에너지 전환,모디 총리는 2031 2032년까지 연간 365기가와트의 태양광 발전능력을 달성하고 전기차와 지속가능한 항공유 보급을 확대한다는 야심찬 청정에너지 공급 계획을 세웠다. 인도의 현재 태양광 발전능력은 32기가와트에 불과하다. 목표 달성을 위해 분발이 필요한데 현재 적정 수요로 추정되는 52기가와트에도 미치지 못하는 수준이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
62,context,0.3115,0.5907,0.1856,1,3,1,1,,,,neutral,0.9943,0.5940520167350769,에너지 관리,E,신재생에너지 전환,"KT는 재생에너지 사용 확대를 위해 전국 가용부지를 활용하여 지속적으로 태양광 발전소를 구축해 왔다. 작년 말 기준 전국 100곳(자가소비용 85곳, 판매용 15곳)에 총 8MW 규모의 태양광 발전소를 운영해 왔다. 지난해 태양광 발전소 연간 발전량은 9526MWh이지만 대부분의 발전소가 산지 등 송전이 용이한 곳에 위치하지 않아 자가소비량은 7.9%인 755MWh에 그쳤다. KT는 지난해 6월 RE100 가입을 완료하고 2030년까지 온실가스를 2021년 기준으로 51.7%를 줄이고, 2050년까지 넷제로를 달성하겠단 목표를 제시한 바 있다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
63,context,0.2088,0.2861,0.1615,1,1,2,1,,,,neutral,0.9316,0.3071036636829376,에너지 관리,E,신재생에너지 전환,이런 가운데 EIA는 올 여름 미국의 태양광 발전량이 지난해 같은 기간에 비해 24% 증가하고 풍력과 원자력 발전량도 늘어날 것으로 전망했다. 반면에 석탄 발전은 지난 여름보다 15% 감소할 것으로 예상됐다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
64,context,0.3063,0.6278,0.1332,1,1,1,1,,,,neutral,0.9989,0.6284807324409485,기후변화·온실가스,E,Scope 1·2 배출량,"2018년부터는 탄소중립 조기 목표 달성을 위해 탄소 오프셋(상쇄)을 구매하기 시작했다. 탄소 오프셋은 대기 중 이산화탄소 배출 감축 또는 제거 프로젝트에 대한 탄소배출권이다. 이를 통해 대학은 직접 통제할 수 있는 스코프 1 배출량, 그리고 대학 구매 에너지 등 간접 배출량을 포함한 스코프 2 배출량 면에서 탄소 중립을 달성했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
65,context,0.317,0.6314,0.16,1,2,1,1,,,,neutral,0.9999,0.6314506530761719,에너지 관리,E,신재생에너지 전환,"제주의 에너지 전환 정책 세미나, 탄소중립 이행을 위한 에너지 혁신 기술 세미나, 기후미래포럼, 부산지역 RE100 협의체 발대식, 부산기후변화협의체 세미나, 탄소중립시대 기후테크 육성전략 회의, 광물 순환자원 기술 콘퍼런스, 암모니아 활용 포럼도 열린다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
66,context,0.238,0.4357,0.1315,1,1,1,1,,,,neutral,0.9859,0.44193407893180847,에너지 관리,E,신재생에너지 전환,이 대학은 2007년부터 2017년까지 한꺼번에 약 1만8000가구에 친환경 전력을 공급할 수 있는 90개의 현장 태양광 설비를 구축했다. 또한 애리조나주 최대 전력회사인 애리조나공공서비스와 협력하여 연간 6만5000메가와트시의 친환경 전기를 생산하는 태양광 발전소를 건설했다. 그 결과 학교의 탄소 배출량이 감소하고 탄소 발자국이 30% 이상 줄었다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
67,context,0.2253,0.3562,0.1733,1,1,2,1,,,,neutral,0.9999,0.35623466968536377,인적자원 관리,S,다양성 및 형평성 (DEI),"나무를 심어 탄소 감축과 생물 다양성 보전을 통해 생태계를 개선하는 목표는 당연히 바람직하다. 그렇지만 나무를 심을 땅이 생각보다 많지 않고, 나무의 탄소 저장 능력이 예상만큼 될 수 있을 지 현실적 한계를 따지지 않는다고 FT는 지적했다. 나무 심기가 생각보다 간단한 문제가 아니어서 올바른 방법으로 제대로 심지 않으면 효과가 크지 않을 수 있다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
68,context,0.298,0.5328,0.2075,1,1,3,1,,,,neutral,0.9726,0.5478543639183044,에너지 관리,E,신재생에너지 전환,"정부는 소형 태양광 사업자 우대제도 폐지하는 대해 계통 수급에 대한 책임성 문제, 사업자의 태양광 설비의 임의분할 문제 등이 지적되고 있다고 밝혔다. 이중 계통과 수급의 책임성 문제는 전력망의 유연성이 확보되지 않아 태양광 발전량이 급격히 늘어날 때 블랙아웃을 우려하는 상황이 발생하는 것을 뜻한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
69,context,0.2651,0.4567,0.1866,1,3,1,1,,,,neutral,0.9997,0.4568387567996979,이사회 구조,G,이사회 구성 및 독립성,업계와 자본시장 전문가들 중에 8월까지인 TF 활동 기간이 너무 길다 는 쪽도 있다. 그들은 TF는 이와 상관없이 최대한 빠른 시간 안에 이사회 구성과 CEO 선임을 마쳐 KT의 경영공백을 최소화하는 노력을 해야 한다 는 입장이다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
70,context,0.2856,0.5685,0.1332,1,1,1,1,,,,neutral,0.9992,0.5689918398857117,인적자원 관리,S,다양성 및 형평성 (DEI),"근로자 복지와 다양성, 평등과 포용(DE I), 인적자본에 대한 투자와 재교육을 포함한 인적자본 공시는 혁신과 생산성, 온실가스 감축과 같은 영역에서 기업의 잠재력과 리스크를 보여준다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
71,opportunity,0.2586,0.3171,0.2616,1,3,1,1,,,,positive,0.5605,0.565720796585083,에너지 관리,E,신재생에너지 전환,이런 가운데 한전의 PPA 요금제 도입 무기한 연기 조치도 직접 PPA 수요 증가에 일조했다. PPA 요금제는 PPA 계약을 체결한 기업이 PPA 전력으로 충족하지 못하는 전력을 한전으로부터 공급받을 때 부과되는 요금이다. PPA로 필요한 전력을 모두 충족시킬 수 있는 기업이 없어 사실상 모든 PPA 체결 기업에 적용되는 요금으로 볼 수 있다.,TRUE,낮은신뢰도(0.560) | 재무영향낮음(잠재규모1·가능성1)
72,risk,0.3776,0.3611,0.4326,1,1,2,1,,,,negative,0.9983,0.36176028847694397,에너지 관리,E,신재생에너지 전환,하지만 늘어나는 한전 적자 때문에 전기료가 인상되고 한전이 논란이 됐던 PPA 요금제 도입을 무기한 연기하면서 분위기가 달라졌다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
73,context,0.1725,0.28,0.149,3,3,1,1,,,,neutral,0.5588,0.5011048316955566,에너지 관리,E,신재생에너지 전환,"업계는 한전의 PPA 요금제가 산업용 요금보다 비싼데, 전체 전력에서 재생에너지 전력을 1%만 써도 나머지 99% 전력사용량 전체에 PPA 요금이 적용돼 부담이 커진다고 반발했다. 한전은 결국 이런 반발을 의식해 당초 1월 도입 예정이었던 PPA 요금제 도입을 무기한 연기했고 업계는 이를 사실상 철회로 받아들이고 있다.",TRUE,낮은신뢰도(0.559) | 감정불명확 | 재무영향낮음(잠재규모1·가능성1)
74,context,0.2451,0.4946,0.1107,1,1,1,1,,,,neutral,0.8299,0.5959829688072205,에너지 관리,E,신재생에너지 전환,또한 당초 목표했던 것보다 1년이 빠른 2019년 탄소 중립을 달성하고 100% 재생 가능한 전력(RE100)을 조달하기 위해 애쓰고 있다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
75,context,0.1861,0.3422,0.1234,1,1,3,1,,,,neutral,0.5784,0.5915587544441223,에너지 관리,E,신재생에너지 전환,신재생에너지 정책혁신 TF 는 최근 감사원의 신재생에너지 사업 추진실태 감사와 국무조정실의 전력산업기반기금 사업 점검 결과 재생에너지 사업 관련 비리 혐의가 적발되고 전반적인 사업 관리 부실 문제가 지적됨에 따라 이를 해결하기 위해 설립됐다.,TRUE,낮은신뢰도(0.578) | 감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
76,context,0.2546,0.475,0.1521,1,1,2,1,,,,neutral,0.8774,0.5413421392440796,인적자원 관리,S,다양성 및 형평성 (DEI),"LGBTQ 역시 DEI 관련 핵심 이슈의 하나라 이를 둘러싼 논란이 커지고 있다. LGBTQ는 lesbian(여성 동성애자), gay(남성 동성애자), bisexual(양성애자), transgender(성전환자), queer(성 소수자 전반) 혹은 questioning(성 정체성에 관해 갈등하는 사람)의 첫 글자를 따서 만든 약어다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
77,context,0.3383,0.6792,0.1732,1,1,2,1,,,,neutral,0.999,0.679892361164093,기후변화·온실가스,E,Scope 3 배출량,10) 스코프1(직접 배출)와 스코프2(간접 배출) 및 적절할 경우 스코프3(공급망 배출)에 해당하는 온실가스 배출량 및 관련 위험 공개,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
78,context,0.2347,0.3698,0.1865,1,3,1,1,,,,neutral,0.9992,0.37006232142448425,기후변화·온실가스,E,Scope 1·2 배출량,CEA가 인용한 4월11일자 미 뉴욕타임스 보도에 따르면 세계 최대 암호화폐 광산 34곳의 전력 사용량은 주변 300만 가구가 쓰는 전력량과 맞먹는다. 또 지난해 미국에서 암호화폐 채굴 용도로 사용된 전력량은 미국 내 모든 가구의 컴퓨터와 거주용 조명을 켜는 데 쓰인 전력량과 비슷했다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
79,context,0.2366,0.4314,0.1474,2,1,1,1,,,,neutral,0.8502,0.5073676109313965,에너지 관리,E,신재생에너지 전환,"1 5월 중 풍력과 태양광 발전량은 2019년 대비 1억200만MWh(68%) 증가했으나, 석탄 발전량은 1억3200만MWh(35%) 감소했다. 올해 1 5월 중 석탄 발전량 2억4940만MWh는 수십 년 래 최저 수준이다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
80,context,0.3332,0.7044,0.1333,1,1,1,1,,,,neutral,0.9996,0.7047183513641357,기후변화·온실가스,E,기후 거버넌스·인벤토리,"금융기관의 온실가스 배출량을 평가하고 공시하는 기준을 개발하기 위해 설립된 탄소회계금융협회(PCAF, Partnership for Carbon Accounting Financials)는 당초 지난해까지 증권인수 업무 관련 탄소배출량 산정 기준을 만들 예정이었다. 하지만 이 기구에 참여하는 금융기관 간 이견이 팽팽해 아직까지 결과물을 내놓지 못하고 있다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
81,context,0.2994,0.6085,0.133,1,1,1,1,,,,neutral,0.9972,0.6101685166358948,에너지 관리,E,신재생에너지 전환,LG전자에 따르면 지난해 배출한 직접 온실가스(스코프1)와 간접 온실가스(스코프2)는 92.7만t(온실가스를 이산화탄소 배출량으로 환산)이다. LG전자는 2030년까지 이산화탄소 순 배출량을 제로(0)로 만드는 넷제로 를 실천할 방침이다. 재생에너지 전환율은 8.2%였다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
82,context,0.2975,0.6025,0.1333,1,1,1,1,,,,neutral,0.9998,0.6026303172111511,에너지 관리,E,신재생에너지 전환,"신한금융의 이번 디지털 RE100 선언은 최근 그룹 데이터센터의 전력사용량이 디지털, 모바일 금융 확대 등으로 인한 증가로 그룹 탄소배출량이 증가하고 있다고 판단해 마련됐다. 신한은행은 이를 위해 지난 29일 국내 은행 최초로 한국동서발전과 5년간 재생에너지를 공급 받는 REC 구매계약을 체결했다. 또한 카드, 증권, 라이프 등의 주요 그룹사도 상반기 내로 REC 계약을 추진할 계획이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
83,context,0.3191,0.6642,0.1333,1,1,1,1,,,,neutral,0.9999,0.6642654538154602,인적자원 관리,S,다양성 및 형평성 (DEI),"LG전자는 28일 발간한 2022 2023 지속가능경영보고서 에서 ESG(환경 사회적 책임 지배구조) 경영 비전 모두의 더 나은 삶의 실현을 위한 6대 전략 과제의 성과와 달성 전략을 공개했다. LG전자는 6대 전략 과제는 탄소중립, 자원순환, 친환경기술, 접근성, 사업장 안전, 다양성 포용성 등이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
84,opportunity,0.3708,0.4926,0.3052,1,1,1,1,,,,positive,0.9157,0.5379172563552856,에너지 관리,E,신재생에너지 전환,"현대차는 보고서에서 2035년까지 유럽 시장 내 100% 전동화, 2040년까지 주요 시장 100% 전동화를 목표로 하고 있으며 이를 통해 2045년까지 RE100(재생에너지 100%)을 이행할 계획이라고 강조했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
85,context,0.3403,0.7246,0.1333,1,1,1,1,,,,neutral,0.9999,0.7247136235237122,에너지 관리,E,신재생에너지 전환,"특히 보고서는 환경 챕터에서는 친환경에서 나아가 필( ) 환경 경영 체제로 전환해 온 KT의 활동을 강조했다. KT는 전 세계적으로 이슈가 되는 기후변화 대응을 위해 지난해 6월 RE100(재생에너지 100%) 가입을 완료하고 그에 따른 이행 로드맵을 수립한 바 있다. 또 단계별 재생에너지 수급 목표 설정 내용과 자가발전, PPA(발전 사업자와 기업이 1 1로 전력 거래를 체결하는 방식) 통한 재생에너지 확보 전략 등을 확보했다는 점을 보고서에서 강조했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
86,context,0.361,0.6553,0.2633,3,3,1,1,,,,neutral,0.9872,0.6638396978378296,에너지 관리,E,신재생에너지 전환,"신한금융은 신한 디지털 RE100을 통해 그룹 전체의 20%에 해당하는 연간 약 2만t의 탄소배출량을 감축할 예정이다. 이를 위해 REC(신재생에너지 공급인증서), 녹색프리미엄, PPA(전력구매계약), 자가 발전 등을 종합적으로 활용해 데이터센터의 전력사용량을 충당할 계획이다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
87,context,0.2704,0.526,0.1328,1,1,1,1,,,,neutral,0.9958,0.5281726717948914,인적자원 관리,S,다양성 및 형평성 (DEI),"SK 가 이번에 발표한 지속가능경영보고서는 정보를 공개하는 자회사 범위를 더욱 넓히고 재무적 정보뿐만 아니라 지배구조, 다양성, 인권 등 비재무적 정보까지 정보 공개 범위를 확대한 게 특징이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
88,context,0.3062,0.6017,0.1593,1,2,1,1,,,,neutral,0.9954,0.60444176197052,에너지 관리,E,신재생에너지 전환,LG전자에 따르면 지난해 배출한 직접 온실가스(스코프1)와 간접 온실가스(스코프2)는 92.7만t(온실가스를 이산화탄소 배출량으로 환산)이다. LG전자는 2030년까지 이산화탄소 순 배출량을 제로(0)로 만드는 넷제로 를 실천할 방침이다. 재생에너지 전환율은 8.2%였다. 지난해 52개국 87개 지역에서 회수한 폐전자제품은 총 47만2876t이었다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
89,context,0.3088,0.637,0.1321,1,1,1,1,,,,neutral,0.9907,0.6429716944694519,인적자원 관리,S,다양성 및 형평성 (DEI),"LG전자는 ESG 경영 비전 모두의 더 나은 삶 의 실현을 위한 6대 전략 과제의 성과와 달성 전략을 공개했다. LG전자는 6대 전략 과제는 탄소중립, 자원순환, 친환경기술, 접근성, 사업장 안전, 다양성 포용성 등이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
90,context,0.2643,0.5158,0.1289,1,1,1,1,,,,neutral,0.9668,0.5335033535957336,기후변화·온실가스,E,Scope 3 배출량,Scope3에서 가장 많이 늘어난 것은 공급망에서 배출된 온실가스다. 공급망 배출 온실가스는 1985만2763tCO2eq로 역시 전년에 견주면 8.1% 증가했다. 현대차 자사 공장 생산과정에서 배출된 온실가스의 28배가 넘는다. 또 판매된 차량의 온실가스 배출량도 8195만9096tCO2eq로 전년 대비 1.3%가 증가했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
91,context,0.296,0.4667,0.2653,3,3,1,1,,,,neutral,0.9947,0.4692051112651825,에너지 관리,E,신재생에너지 전환,"그렇지만 보고서를 보면, KT의 지난해 온실가스 배출은 2021년에 견줘 소폭 늘었고 재생에너지 사용 비율은 전체 사용량의 0.03%에 불과했다. 이는 온실가스 배출량 2030년까지 2021년 배출량 대비 51.7%를 줄이고 재생에너지 비율을 2030년까지 40%까지 끌어올린다는 이 회사의 RE100 계획과는 상당한 거리감이 있다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
92,context,0.2952,0.596,0.1333,1,1,1,1,,,,neutral,0.9999,0.5960882306098938,에너지 관리,E,신재생에너지 전환,"우태희 대한상의 상근부회장은 온실가스 배출량의 에너지 비중은 80% 이상으로, 에너지의 탈탄소화를 이끄는 재생에너지 사용이 탄소중립 성공을 좌우한다. 재생에너지 전환은 대기업은 물론 공급망 내 중소 또는 중견기업의 참여가 필수적 이라고 밝혔다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
93,context,0.196,0.346,0.1152,1,1,1,1,,,,neutral,0.8642,0.4003467261791229,에너지 관리,E,신재생에너지 전환,블룸버그NEF 데이터에 따르면 미국에서는 해상 풍력 발전소의 설치 용량 1메가와트당 태양광 발전소의 3배에 달하는 전력을 생산할 수 있다다. 날씨가 흐린 영국에서는 풍력 발전 단지가 비슷한 규모의 태양광 발전 단지보다 5배 더 많은 전기를 생산한다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
94,context,0.2771,0.5442,0.1333,1,1,1,1,,,,neutral,0.9998,0.5442920923233032,에너지 관리,E,에너지 소비 및 효율화,재계와 금융계 최고경영자(CEO)들 사이에 이어지는 에너지 절감과 환경 보호를 위한 릴레이 쿨 코리아 챌린지가 화제다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
95,opportunity,0.4963,0.6003,0.5325,1,1,3,1,,,,positive,0.9985,0.6012234091758728,에너지 관리,E,신재생에너지 전환,"이렇게 직접 PPA 계약이 늘어날 만한 여건이 조성되고 있으나, 계약 체결은 여전히 부진하다. 산업통상자원부의 한 고위 관계자는 수요자와 공급자의 (가격 등) 이해 관계가 맞지 않아 생기는 문제가 크다며 재생에너지 전력이 부족해 발생하는 문제는 아니다고 말했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
96,context,0.2972,0.4708,0.2648,3,3,1,1,,,,neutral,0.9929,0.4741548001766205,에너지 관리,E,신재생에너지 전환,원자력 발전량은 재작년 158.0TWh(테라와트시)에서 작년 176.1TWh로 11.5%(18.1TWh) 증가했다. 신재생에너지 발전량도 43.1TWh에서 53.2TWh로 23.4%(10.1TWh) 늘었다. 전체 발전량에서 원자력과 신재생에너지 발전량이 차지하는 비중은 각각 27%와 7.5%에서 30%와 8.9%로 커졌다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
97,risk,0.3487,0.3822,0.3307,1,1,1,1,,,,negative,0.992,0.38526105880737305,기후변화·온실가스,E,Scope 3 배출량,"올해 리튬, 코발트, 니켈, 흑연 같은 주요 배터리 소재 가격이 하락한 건 무엇보다 중국의 경기 둔화가 다운스트림(downstream 정제 판매 유통 분야) 수요에 타격을 주는 가운데서도 신규 공급은 확대됐기 때문이다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
98,context,0.3179,0.6073,0.1866,1,3,1,1,,,,neutral,0.9999,0.6073533296585083,인적자원 관리,S,다양성 및 형평성 (DEI),"글로벌 기업들의 ESG 전략은 우선 친환경 경영을 통해 탄소 발자국을 줄이고 자원과 에너지를 절약하며 지구를 보호하는데 초점이 맞춰지고 있다. 아울러 다양성 형평성 포용성(DEI) 을 중시하는 기업문화를 조성하고, 최고의 인재를 유치하며, 근로자의 인권 및 안전을 보장한다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
99,opportunity,0.4458,0.6549,0.3332,1,1,1,1,,,,positive,0.9997,0.6550508737564087,에너지 관리,E,신재생에너지 전환,"RE100 기업의 직접 PPA 계약에 대한 관심이 커지고 있으나, 전력거래소에 따르면 지난 9월 제도 도입 후 현재까지 계약 체결 건수와 전력량은 4건, 7.2MW에 불과하다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
100,context,0.2838,0.5632,0.1333,1,1,1,1,,,,neutral,0.9997,0.563346266746521,에너지 관리,E,신재생에너지 전환,무소속 양향자 의원실에 따르면 비영리단체 기후솔루션이 지난해 추산한 직접 PPA 전력요금에는 망사용료를 포함한 각종 부대비용이 20% 이상을 차지한다. 중대형 태양광 발전 기준 1kWh당 발전비용 176원 중 부대비용이 23% 수준인 40원에 달한다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
101,context,0.3158,0.5278,0.2195,1,3,2,1,,,,neutral,0.9685,0.5449298620223999,에너지 관리,E,신재생에너지 전환,전기요금 인상과 함께 탄소배출권 가격 상승 전망과 글로벌 ICT 기업의 재생에너지 사용 압력도 RE100 기업의 직접 PPA에 대한 관심을 높이는 요인이다.,TRUE,감정불명확
102,opportunity,0.4171,0.4405,0.4659,1,3,1,1,,,,positive,0.9983,0.4412771463394165,에너지 관리,E,신재생에너지 전환,김 연구원도 애플이 공급망을 포함해 2030년 RE100 달성을 목표로 하는 등 글로벌 ICT 기업들이 대체로 2030년이나 2040년까지 공급망을 포함한 RE100 달성을 목표로 삼고 있다 며 따라서 국내기업들이 느끼는 재생에너지 사용 압력은 밖에서 알고 있는 것보다 훨씬 더 크다 고 전했다.,TRUE,재무영향낮음(잠재규모1·가능성1)
103,context,0.297,0.6046,0.1314,1,1,1,1,,,,neutral,0.9853,0.6136466860771179,에너지 관리,E,신재생에너지 전환,협력사가 펀드 자금을 활용할 수 있는 분야는 탄소감축 및 저탄소 관련 신기술 재생에너지 전환 에너지 저감에 필요한 설비 투자 등이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
